2026-07-09T11:38:45.078212377Z [inf]  Starting Container
2026-07-09T11:38:53.211797495Z [err]  2026-07-09 11:38:53,210 INFO Saved: How to Upload & Manage Your Files/ Assets
2026-07-09T11:38:53.217876084Z [err]  2026-07-09 11:38:53,215 INFO Saved: What types of files are supported?
2026-07-09T11:38:53.225046341Z [err]  2026-07-09 11:38:53,223 INFO Saved: Animation
2026-07-09T11:38:53.238028812Z [err]  2026-07-09 11:38:53,235 INFO Saved: ProPlayer
2026-07-09T11:38:53.252588903Z [err]  2026-07-09 11:38:53,250 INFO Saved: How to Use the OptiSigns Mobile Admin App
2026-07-09T11:38:53.257570706Z [err]  2026-07-09 11:38:53,255 INFO Saved: How to add a Microsoft 365 Excel Spreadsheet as a DataSource for OptiSync
2026-07-09T11:38:53.267817678Z [err]  2026-07-09 11:38:53,266 INFO Saved: How to Manage and Edit Your Playlist Settings
2026-07-09T11:38:53.270381968Z [err]  2026-07-09 11:38:53,269 INFO Saved: How to Fix The Scaling Issue on OptiSigns Android Device Gen 3
2026-07-09T11:38:53.274909826Z [err]  2026-07-09 11:38:53,273 INFO Saved: How to get the most out of your Digital Signs
2026-07-09T11:38:53.281284643Z [err]  2026-07-09 11:38:53,276 INFO Saved: How to Share Contents with Other Users/Teams
2026-07-09T11:38:53.281290313Z [err]  2026-07-09 11:38:53,277 INFO Saved: How to get the list of playlists where the asset is used 
2026-07-09T11:38:53.281294333Z [err]  2026-07-09 11:38:53,279 INFO Saved: Generate & Manage OptiSigns API Key
2026-07-09T11:38:53.281297933Z [err]  2026-07-09 11:38:53,280 INFO Saved: View Billing History and Download Receipts
2026-07-09T11:38:53.282926733Z [err]  2026-07-09 11:38:53,282 INFO Saved: How to link Instagram Business or Creator Account to Facebook Account
2026-07-09T11:38:53.290007931Z [err]  2026-07-09 11:38:53,289 INFO Saved: How to Use Google Slides with OptiSigns
2026-07-09T11:38:53.296664894Z [err]  2026-07-09 11:38:53,292 INFO Saved: MacOS
2026-07-09T11:38:53.296670964Z [err]  2026-07-09 11:38:53,293 INFO Saved: How to Preview a Screen
2026-07-09T11:38:53.296675454Z [err]  2026-07-09 11:38:53,294 INFO Saved: How to use a PDF with OptiSigns
2026-07-09T11:38:53.296678934Z [err]  2026-07-09 11:38:53,295 INFO Saved: How to Check WiFi Signal Strength on the Amazon Fire TV Stick
2026-07-09T11:38:53.304206518Z [err]  2026-07-09 11:38:53,300 INFO Saved: Your Templates
2026-07-09T11:38:53.319148685Z [err]  2026-07-09 11:38:53,314 INFO Saved: ProMax
2026-07-09T11:38:53.321451038Z [err]  2026-07-09 11:38:53,319 INFO Saved: How to Contact OptiSigns Support
2026-07-09T11:38:53.328588865Z [err]  2026-07-09 11:38:53,324 INFO Saved: How to add Google Sheets as a DataSource for OptiSync
2026-07-09T11:38:53.328599475Z [err]  2026-07-09 11:38:53,326 INFO Saved: I received the OptiSigns device but it's OnHold and cannot assign content
2026-07-09T11:38:53.330654872Z [err]  2026-07-09 11:38:53,329 INFO Saved: How to cancel subscription or pause subscription for Seasonal Use Case
2026-07-09T11:38:53.337332985Z [err]  2026-07-09 11:38:53,333 INFO Saved: How to install OptiSigns Player on Apple TV
2026-07-09T11:38:53.339114935Z [err]  2026-07-09 11:38:53,337 INFO Saved: Get Started with OptiSigns API
2026-07-09T11:38:53.340904963Z [err]  2026-07-09 11:38:53,340 INFO Saved: Advanced: How to assign security for users to only edit certain zones of the screens
2026-07-09T11:38:53.348103920Z [err]  2026-07-09 11:38:53,344 INFO Saved: Set OptiSigns as ScreenSaver on Windows
2026-07-09T11:38:53.348110180Z [err]  2026-07-09 11:38:53,345 INFO Saved: Show YouTube video's subtitle/closed caption
2026-07-09T11:38:53.357101886Z [err]  2026-07-09 11:38:53,353 INFO Saved: Linux
2026-07-09T11:38:53.357107146Z [err]  2026-07-09 11:38:53,355 INFO Saved: Changing screen's orientation (portrait & landscape)
2026-07-09T11:38:53.363248526Z [err]  2026-07-09 11:38:53,359 INFO Saved: How can I remotely start/restart OptiSigns app on Fire TV?
2026-07-09T11:38:53.364664650Z [err]  2026-07-09 11:38:53,364 INFO Saved: How to create and use Instagram Wall
2026-07-09T11:38:53.366411610Z [err]  2026-07-09 11:38:53,365 INFO Saved: What if I want to increase, decrease number of screens during the month?
2026-07-09T11:38:53.380711745Z [err]  2026-07-09 11:38:53,375 INFO Saved: Kiosk10
2026-07-09T11:38:53.405032883Z [err]  2026-07-09 11:38:53,398 INFO Saved: Widgets in Designer
2026-07-09T11:38:53.412319859Z [err]  2026-07-09 11:38:53,408 INFO Saved: How to Display Dynamic Event Schedules Using OptiSync
2026-07-09T11:38:53.413905391Z [err]  2026-07-09 11:38:53,412 INFO Saved: How to Fix The Scaling Issue on OptiSigns Android Device
2026-07-09T11:38:53.415098737Z [err]  2026-07-09 11:38:53,414 INFO Saved: How to manage Sub-Account billing with OptiSigns
2026-07-09T11:38:53.421410244Z [err]  2026-07-09 11:38:53,416 INFO Saved: How to install OptiSigns on Samsung Tizen Smart TVs
2026-07-09T11:38:53.423062905Z [err]  2026-07-09 11:38:53,421 INFO Saved: GraphQL API Tutorial: Pair and Assign Content to Screen
2026-07-09T11:38:53.423066105Z [err]  2026-07-09 11:38:53,422 INFO Saved: Moderate your social media feeds
2026-07-09T11:38:53.429847446Z [err]  2026-07-09 11:38:53,426 INFO Saved: Android TV / ChromeCast
2026-07-09T11:38:53.432408317Z [err]  2026-07-09 11:38:53,430 INFO Saved: How to use Approval Workflow feature
2026-07-09T11:38:53.436895245Z [err]  2026-07-09 11:38:53,435 INFO Saved: What hardware and devices are supported?
2026-07-09T11:38:53.436903995Z [err]  2026-07-09 11:38:53,436 INFO Saved: How to tell which Dropbox account that I linked to OptiSigns?
2026-07-09T11:38:53.448003897Z [err]  2026-07-09 11:38:53,446 INFO Saved: How to Use Weather Apps in OptiSigns
2026-07-09T11:38:53.453955418Z [err]  2026-07-09 11:38:53,449 INFO Saved: Assign content to your screens
2026-07-09T11:38:53.464151351Z [err]  2026-07-09 11:38:53,462 INFO Saved: Kiosk32
2026-07-09T11:38:53.487546321Z [err]  2026-07-09 11:38:53,480 INFO Saved: Photos, GIFs, and QR Codes in Designer
2026-07-09T11:38:53.496793803Z [err]  2026-07-09 11:38:53,492 INFO Saved: How to Display Birthday Lists with OptiSync Data Mapping and Google Sheets
2026-07-09T11:38:53.498273496Z [err]  2026-07-09 11:38:53,496 INFO Saved: Display Device Info Onscreen
2026-07-09T11:38:53.499485602Z [err]  2026-07-09 11:38:53,498 INFO Saved: Present/ share iOS/ Android phone/ tablet to your screen with OptiSigns & AeriCast Add-on
2026-07-09T11:38:53.505153987Z [err]  2026-07-09 11:38:53,504 INFO Saved: Tutorial: Create, Update, Add, Remove items from Playlists
2026-07-09T11:38:53.511142148Z [err]  2026-07-09 11:38:53,506 INFO Saved: Multilingual and multi-currency
2026-07-09T11:38:53.511147528Z [err]  2026-07-09 11:38:53,509 INFO Saved: How to install OptiSigns Player on Android Boxes
2026-07-09T11:38:53.521956983Z [err]  2026-07-09 11:38:53,520 INFO Saved: Raspberry Pi
2026-07-09T11:38:53.565853766Z [err]  2026-07-09 11:38:53,563 INFO Saved: Multi-users: Invite your team members to your account
2026-07-09T11:38:53.572428100Z [err]  2026-07-09 11:38:53,568 INFO Saved: Set up & add a screen
2026-07-09T11:38:53.586035243Z [err]  2026-07-09 11:38:53,580 INFO Saved: Kiosk50
2026-07-09T11:38:53.598735777Z [err]  2026-07-09 11:38:53,595 INFO Saved: Customize Text
2026-07-09T11:38:53.599692045Z [err]  2026-07-09 11:38:53,598 INFO Saved: Tutorial: Creating or Updating Website Assets Using GraphQL
2026-07-09T11:38:53.611860975Z [err]  2026-07-09 11:38:53,608 INFO Saved: How to Create Custom News Feeds with  OptiSync
2026-07-09T11:38:53.617376212Z [err]  2026-07-09 11:38:53,614 INFO Saved: Amazon Signage Stick
2026-07-09T11:38:53.623451311Z [err]  2026-07-09 11:38:53,619 INFO Saved: How to use AeriCast Add-on for Wireless Presentation and Video Conferencing
2026-07-09T11:38:53.623460171Z [err]  2026-07-09 11:38:53,621 INFO Saved: How to Change Account Owners
2026-07-09T11:38:53.630703597Z [err]  2026-07-09 11:38:53,627 INFO Saved: How to Install OptiSigns as an APK File on Android Devices
2026-07-09T11:38:53.630707587Z [err]  2026-07-09 11:38:53,628 INFO Saved: How to unpair a device, screen?
2026-07-09T11:38:53.630711267Z [err]  2026-07-09 11:38:53,628 INFO Saved: How far back or how many posts will be fetched for my Social Walls?
2026-07-09T11:38:53.630715117Z [err]  2026-07-09 11:38:53,629 INFO Saved: How to use iMovie content with OptiSigns?
2026-07-09T11:38:53.636689188Z [err]  2026-07-09 11:38:53,635 INFO Saved: Legacy DataSources
2026-07-09T11:38:53.652514486Z [err]  2026-07-09 11:38:53,649 INFO Saved: Shapes and Elements
2026-07-09T11:38:53.658823562Z [err]  2026-07-09 11:38:53,654 INFO Saved: Tutorial: Creating Schedules and Adding Schedule Items Using GraphQL
2026-07-09T11:38:53.666168228Z [err]  2026-07-09 11:38:53,665 INFO Saved: OptiSigns Pro Player Advanced Features
2026-07-09T11:38:53.672050271Z [err]  2026-07-09 11:38:53,667 INFO Saved: How to add captions to Vimeo videos
2026-07-09T11:38:53.672057310Z [err]  2026-07-09 11:38:53,670 INFO Saved: Present / share your screen with OptiSigns & AeriCast Add-on
2026-07-09T11:38:53.672061360Z [err]  2026-07-09 11:38:53,671 INFO Saved: How to Delete Your Account from OptiSigns
2026-07-09T11:38:53.679048919Z [err]  2026-07-09 11:38:53,678 INFO Saved: Amazon Firestick
2026-07-09T11:38:53.682095314Z [err]  2026-07-09 11:38:53,681 INFO Saved: Kiosk Setup Hub
2026-07-09T11:38:53.687910557Z [err]  2026-07-09 11:38:53,687 INFO Saved: Brand Kit and Enforcing Brand Guidelines
2026-07-09T11:38:53.689332250Z [err]  2026-07-09 11:38:53,688 INFO Saved: Update OptiSigns player on OptiSigns Pro Player (Gen 2) via script
2026-07-09T11:38:53.697357298Z [err]  2026-07-09 11:38:53,691 INFO Saved: How to use the MustHaveMenus  app with OptiSigns
2026-07-09T11:38:53.697360958Z [err]  2026-07-09 11:38:53,695 INFO Saved: Pagination
2026-07-09T11:38:53.697364688Z [err]  2026-07-09 11:38:53,696 INFO Saved: How to replace/update an existing asset (image, video, documents)
2026-07-09T11:38:53.908085775Z [err]  2026-07-09 11:38:53,701 INFO Saved: FireOS TVs (Amazon, Insigna, Toshiba, TCL)
2026-07-09T11:38:53.908089115Z [err]  2026-07-09 11:38:53,705 INFO Saved: About the OnHold Devices Folder
2026-07-09T11:38:53.908092615Z [err]  2026-07-09 11:38:53,719 INFO Saved: Creating and Using Schedules with OptiSigns
2026-07-09T11:38:53.908096805Z [err]  2026-07-09 11:38:53,721 INFO Saved: Why Does My Screen Show as "Offline" on the Web Portal?
2026-07-09T11:38:53.908100425Z [err]  2026-07-09 11:38:53,743 INFO Saved: Where to Buy OptiSigns Devices
2026-07-09T11:38:53.908103785Z [err]  2026-07-09 11:38:53,747 INFO Saved: How to use Waitwhile App
2026-07-09T11:38:53.908107105Z [err]  2026-07-09 11:38:53,753 INFO Saved: BrightSign Players
2026-07-09T11:38:53.908110565Z [err]  2026-07-09 11:38:53,754 INFO Saved: Error Handling
2026-07-09T11:38:53.908114735Z [err]  2026-07-09 11:38:53,755 INFO Saved: How can I improve stability of Fire TV as Digital Signage player?
2026-07-09T11:38:53.908118105Z [err]  2026-07-09 11:38:53,756 INFO Saved: Can I have my invoices, receipts sent to a different email address?
2026-07-09T11:38:53.908121605Z [err]  2026-07-09 11:38:53,759 INFO Saved: Subscription Function in GraphQL
2026-07-09T11:38:53.908124644Z [err]  2026-07-09 11:38:53,761 INFO Saved: How to display Google Slide in Portrait Mode
2026-07-09T11:38:53.908128114Z [err]  2026-07-09 11:38:53,762 INFO Saved: What happen if internet connection is lost?
2026-07-09T11:38:53.908131294Z [err]  2026-07-09 11:38:53,763 INFO Saved: Web browser as OptiSigns player
2026-07-09T11:38:53.908135034Z [err]  2026-07-09 11:38:53,776 INFO Saved: Setting Up Your Samsung Smart Signage Platform (SSSP - Commercial Grade)
2026-07-09T11:38:53.908137974Z [err]  2026-07-09 11:38:53,778 INFO Saved: How to use Monday.com App
2026-07-09T11:38:53.908141504Z [err]  2026-07-09 11:38:53,779 INFO Saved: API Reference
2026-07-09T11:38:53.908146094Z [err]  2026-07-09 11:38:53,780 INFO Saved: How to export high resolution canvas, template designs
2026-07-09T11:38:53.909034544Z [err]  2026-07-09 11:38:53,782 INFO Saved: Show Offline Indicator feature
2026-07-09T11:38:53.909037734Z [err]  2026-07-09 11:38:53,785 INFO Saved: How to use Website Screenshot app
2026-07-09T11:38:53.909042003Z [err]  2026-07-09 11:38:53,791 INFO Saved: LG WebOS Signage (Commercial Grade)
2026-07-09T11:38:53.909045473Z [err]  2026-07-09 11:38:53,792 INFO Saved: Is there storage limit for my account?
2026-07-09T11:38:53.909048693Z [err]  2026-07-09 11:38:53,793 INFO Saved: Show/Hide Offline Indicator on your Player
2026-07-09T11:38:53.909052463Z [err]  2026-07-09 11:38:53,798 INFO Saved: How to use Airtable with OptiSigns
2026-07-09T11:38:53.909055963Z [err]  2026-07-09 11:38:53,800 INFO Saved: How to Clean Data on the OptiSigns Android Stick
2026-07-09T11:38:53.909059273Z [err]  2026-07-09 11:38:53,802 INFO Saved: Use Your Mac/Windows Device as a Test Screen
2026-07-09T11:38:53.909062583Z [err]  2026-07-09 11:38:53,802 INFO Saved: How do I suggest new features, improvement?
2026-07-09T11:38:53.909065813Z [err]  2026-07-09 11:38:53,812 INFO Saved: How to use the QR Scan-to-Interact (Touchless QR) app
2026-07-09T11:38:53.909068993Z [err]  2026-07-09 11:38:53,816 INFO Saved: How to display SmartSheet report on OptiSigns
2026-07-09T11:38:53.909072223Z [err]  2026-07-09 11:38:53,818 INFO Saved: How to use the Video Stream app
2026-07-09T11:38:53.909075503Z [err]  2026-07-09 11:38:53,820 INFO Saved: How to use RTSP Streams on OptiSigns Devices
2026-07-09T11:38:53.909078943Z [err]  2026-07-09 11:38:53,824 INFO Saved: How to use RTSP Stream on Windows or Raspberry Pi via OptiSigns 
2026-07-09T11:38:53.909082273Z [err]  2026-07-09 11:38:53,829 INFO Saved: How to Use the Weather Alert App
2026-07-09T11:38:53.909085463Z [err]  2026-07-09 11:38:53,844 INFO Saved: How to Use the CAP Alert App
2026-07-09T11:38:53.909088603Z [err]  2026-07-09 11:38:53,846 INFO Saved: How to use Matterport App
2026-07-09T11:38:53.909091943Z [err]  2026-07-09 11:38:53,851 INFO Saved: How to use OptiSigns Screen Capture app
2026-07-09T11:38:53.911757962Z [err]  2026-07-09 11:38:53,908 INFO Saved: How to use MRSS feeds with OptiSigns
2026-07-09T11:38:53.911835982Z [err]  2026-07-09 11:38:53,855 INFO Saved: How to use Advanced Website App
2026-07-09T11:38:53.911840172Z [err]  2026-07-09 11:38:53,857 INFO Saved: How to use Notion App
2026-07-09T11:38:53.911845912Z [err]  2026-07-09 11:38:53,863 INFO Saved: How to use Microsoft Excel Online with OptiSigns
2026-07-09T11:38:53.911849732Z [err]  2026-07-09 11:38:53,873 INFO Saved: How to display Microsoft Teams on OptiSigns
2026-07-09T11:38:53.911853382Z [err]  2026-07-09 11:38:53,880 INFO Saved: Displaying SharePoint Sites on OptiSigns
2026-07-09T11:38:53.911857412Z [err]  2026-07-09 11:38:53,889 INFO Saved: How to Use Microsoft PowerPoint with OptiSigns
2026-07-09T11:38:53.911861121Z [err]  2026-07-09 11:38:53,893 INFO Saved: How to use Microsoft Teams Live app with OptiSigns
2026-07-09T11:38:53.911865901Z [err]  2026-07-09 11:38:53,896 INFO Saved: How to use livestream.com app
2026-07-09T11:38:53.911869901Z [err]  2026-07-09 11:38:53,902 INFO Saved: How to Use the Emergency Feed App
2026-07-09T11:38:53.911873601Z [err]  2026-07-09 11:38:53,905 INFO Saved: How to setup WIFI with OptiSigns Admin mobile app on OptiSigns Pre-Configured Android Player
2026-07-09T11:38:53.915114414Z [err]  2026-07-09 11:38:53,913 INFO Saved: How to use Calendar Mix app
2026-07-09T11:38:53.923013703Z [err]  2026-07-09 11:38:53,918 INFO Saved: How to use Slack App
2026-07-09T11:38:53.929070712Z [err]  2026-07-09 11:38:53,926 INFO Saved: How to Use the Microsoft Meeting Room App
2026-07-09T11:38:53.938704171Z [err]  2026-07-09 11:38:53,935 INFO Saved: How to use LinkedIn App
2026-07-09T11:38:53.938707611Z [err]  2026-07-09 11:38:53,937 INFO Saved: How to use Microsoft Teams Meeting app with OptiSigns
2026-07-09T11:38:53.944680622Z [err]  2026-07-09 11:38:53,942 INFO Saved: How to use the Social Mix App
2026-07-09T11:38:53.950962110Z [err]  2026-07-09 11:38:53,946 INFO Saved: How to use the CBC News App
2026-07-09T11:38:53.950970440Z [err]  2026-07-09 11:38:53,950 INFO Saved: How to use On This Day app
2026-07-09T11:38:53.956343088Z [err]  2026-07-09 11:38:53,952 INFO Saved: How to use the Taggbox Display app with OptiSigns
2026-07-09T11:38:53.956349968Z [err]  2026-07-09 11:38:53,955 INFO Saved: How to use the MindMeister App
2026-07-09T11:38:53.962959061Z [err]  2026-07-09 11:38:53,961 INFO Saved: How to Best Use Canva with OptiSigns
2026-07-09T11:38:53.964034179Z [err]  2026-07-09 11:38:53,963 INFO Saved: How to use Asana App
2026-07-09T11:38:53.965384353Z [err]  2026-07-09 11:38:53,964 INFO Saved: How to use YouTube Live with OptiSigns
2026-07-09T11:38:53.970811730Z [err]  2026-07-09 11:38:53,967 INFO Saved: How to use HDMI & other video input sources in with OptiSigns
2026-07-09T11:38:53.976977970Z [err]  2026-07-09 11:38:53,975 INFO Saved: How to Use the Local Folder App in OptiSigns
2026-07-09T11:38:53.982462666Z [err]  2026-07-09 11:38:53,980 INFO Saved: How to use YouTube Live Schedule with OptiSigns
2026-07-09T11:38:53.987835023Z [err]  2026-07-09 11:38:53,983 INFO Saved: How to use YouTube Channel with OptiSigns 
2026-07-09T11:38:53.987839523Z [err]  2026-07-09 11:38:53,985 INFO Saved: How to put ZenDesk Dashboard on your signs
2026-07-09T11:38:53.989176878Z [err]  2026-07-09 11:38:53,988 INFO Saved: How to use Google Docs with OptiSigns
2026-07-09T11:38:54.002028960Z [err]  2026-07-09 11:38:53,997 INFO Saved: How to use Google Sheets with OptiSigns
2026-07-09T11:38:54.002036199Z [err]  2026-07-09 11:38:54,000 INFO Saved: How to use Scrolling Website App
2026-07-09T11:38:54.003035918Z [err]  2026-07-09 11:38:54,002 INFO Saved: How to create and use Virtual Screen App
2026-07-09T11:38:54.012173233Z [err]  2026-07-09 11:38:54,008 INFO Saved: How to use Kiosk Lite (formerly known as Interactive Kiosk app)
2026-07-09T11:38:54.025059554Z [err]  2026-07-09 11:38:54,020 INFO Saved: How to Use the Flash Message App
2026-07-09T11:38:54.027896271Z [err]  2026-07-09 11:38:54,024 INFO Saved: How to use Emergency Message/Alert App
2026-07-09T11:38:54.032154022Z [err]  2026-07-09 11:38:54,029 INFO Saved: How to Use the Data Studio App
2026-07-09T11:38:54.033817683Z [err]  2026-07-09 11:38:54,033 INFO Saved: How to use Facebook Recommendations App
2026-07-09T11:38:54.040318198Z [err]  2026-07-09 11:38:54,039 INFO Saved: How to use Instagram Business App
2026-07-09T11:38:54.041578203Z [err]  2026-07-09 11:38:54,040 INFO Saved: How to use Trello App
2026-07-09T11:38:54.045628476Z [err]  2026-07-09 11:38:54,044 INFO Saved: How to use YouTube with OptiSigns
2026-07-09T11:38:54.051359430Z [err]  2026-07-09 11:38:54,047 INFO Saved: How to use Follow Us App
2026-07-09T11:38:54.051365490Z [err]  2026-07-09 11:38:54,050 INFO Saved: How to use Facebook Video App
2026-07-09T11:38:54.057310051Z [err]  2026-07-09 11:38:54,054 INFO Saved: How to use Dropbox App
2026-07-09T11:38:54.063404422Z [err]  2026-07-09 11:38:54,060 INFO Saved: How to use the OneDrive App
2026-07-09T11:38:54.065133461Z [err]  2026-07-09 11:38:54,064 INFO Saved: How to use Google Trends App
2026-07-09T11:38:54.071730255Z [err]  2026-07-09 11:38:54,066 INFO Saved: How to use Walls.io App
2026-07-09T11:38:54.071734725Z [err]  2026-07-09 11:38:54,069 INFO Saved: How to use Currency Exchange App
2026-07-09T11:38:54.073586944Z [err]  2026-07-09 11:38:54,072 INFO Saved: How to use Crypto Index & Crypto Exchange App
2026-07-09T11:38:54.079392106Z [err]  2026-07-09 11:38:54,075 INFO Saved: How to use Market Index App
2026-07-09T11:38:54.080689311Z [err]  2026-07-09 11:38:54,079 INFO Saved: How to use Google Drive App
2026-07-09T11:38:54.086209858Z [err]  2026-07-09 11:38:54,082 INFO Saved: How to use the Motivational Quote App
2026-07-09T11:38:54.086214758Z [err]  2026-07-09 11:38:54,085 INFO Saved: How to use Facebook Live Stream App
2026-07-09T11:38:54.091551846Z [err]  2026-07-09 11:38:54,088 INFO Saved: How to use Instagram Counter App
2026-07-09T11:38:54.091559566Z [err]  2026-07-09 11:38:54,090 INFO Saved: How to use Google Traffic App
2026-07-09T11:38:54.097397909Z [err]  2026-07-09 11:38:54,093 INFO Saved: How to use Twitch App
2026-07-09T11:38:54.098690644Z [err]  2026-07-09 11:38:54,097 INFO Saved: How to use the Facebook Counter App
2026-07-09T11:38:54.105425716Z [err]  2026-07-09 11:38:54,102 INFO Saved: How to use the New York Times app
2026-07-09T11:38:54.113027998Z [err]  2026-07-09 11:38:54,106 INFO Saved: How to use the Guardian App
2026-07-09T11:38:54.113031778Z [err]  2026-07-09 11:38:54,111 INFO Saved: How to use the Wall Street Journal App
2026-07-09T11:38:54.119006849Z [err]  2026-07-09 11:38:54,117 INFO Saved: How to Use the Stock App
2026-07-09T11:38:54.130882382Z [err]  2026-07-09 11:38:54,127 INFO Saved: How to Use the Simple Clock App
2026-07-09T11:38:54.132343755Z [err]  2026-07-09 11:38:54,131 INFO Saved: How to use World Clock App
2026-07-09T11:38:54.145336306Z [err]  2026-07-09 11:38:54,141 INFO Saved: How to Use the CountUp App
2026-07-09T11:38:54.152872378Z [err]  2026-07-09 11:38:54,151 INFO Saved: How to use the CountDown App
2026-07-09T11:38:54.159143926Z [err]  2026-07-09 11:38:54,155 INFO Saved: How to use Simple Calendar App
2026-07-09T11:38:54.166854647Z [err]  2026-07-09 11:38:54,161 INFO Saved: How to use the TechCrunch News App
2026-07-09T11:38:54.172670450Z [err]  2026-07-09 11:38:54,168 INFO Saved: How to use the ESPN News App
2026-07-09T11:38:54.180566729Z [err]  2026-07-09 11:38:54,175 INFO Saved: How to use the CNN News App
2026-07-09T11:38:54.180571128Z [err]  2026-07-09 11:38:54,178 INFO Saved: How to create and use QR Code, Call To Action app
2026-07-09T11:38:54.191888258Z [err]  2026-07-09 11:38:54,182 INFO Saved: How to create and use Yelp Reviews Wall
2026-07-09T11:38:54.191892697Z [err]  2026-07-09 11:38:54,188 INFO Saved: How to create and use Google Reviews Wall
2026-07-09T11:38:54.199618538Z [err]  2026-07-09 11:38:54,196 INFO Saved: How to Use Microsoft Outlook Calendar with OptiSigns
2026-07-09T11:38:54.204781408Z [err]  2026-07-09 11:38:54,200 INFO Saved: How to use RSS feeds with OptiSigns
2026-07-09T11:38:54.204786048Z [err]  2026-07-09 11:38:54,202 INFO Saved: How to use Embed App
2026-07-09T11:38:54.217301684Z [err]  2026-07-09 11:38:54,216 INFO Saved: How to Display Microsoft Power BI Dashboards & Reports with OptiSigns
2026-07-09T11:38:54.229397155Z [err]  2026-07-09 11:38:54,225 INFO Saved: How to Use the Facebook Page App
2026-07-09T11:38:54.236281705Z [err]  2026-07-09 11:38:54,235 INFO Saved: How to use published Google Slides with OptiSigns (old way)
2026-07-09T11:38:54.243105156Z [err]  2026-07-09 11:38:54,241 INFO Saved: How to use the News App
2026-07-09T11:38:54.256720299Z [err]  2026-07-09 11:38:54,253 INFO Saved: How to use Google Calendar with OptiSigns
2026-07-09T11:38:54.256726029Z [err]  2026-07-09 11:38:54,255 INFO Saved: How to add & use Vimeo video with OptiSigns
2026-07-09T11:38:54.263825317Z [err]  2026-07-09 11:38:54,261 INFO Saved: How to Use the Website App and Display URLs on OptiSigns
2026-07-09T11:38:54.265260010Z [err]  2026-07-09 11:38:54,263 INFO Scrape completed
2026-07-09T11:38:54.284820754Z [err]  2026-07-09 11:38:54,282 INFO Found 406 markdown file(s) in articles
2026-07-09T11:38:57.543804614Z [err]  2026-07-09 11:38:57,540 INFO HTTP Request: GET https://api.openai.com/v1/vector_stores?limit=100 "HTTP/1.1 200 OK"
2026-07-09T11:38:57.543810754Z [err]  2026-07-09 11:38:57,542 INFO Reusing existing vector store: OptiSigns Help Center (vs_6a4f5e2893348191949c31a3c2e1707a)
2026-07-09T11:38:58.936354675Z [err]  2026-07-09 11:38:58,935 INFO HTTP Request: GET https://api.openai.com/v1/vector_stores/vs_6a4f5e2893348191949c31a3c2e1707a/files?filter=completed&limit=100 "HTTP/1.1 200 OK"
2026-07-09T11:39:01.612728881Z [err]  2026-07-09 11:39:01,580 INFO HTTP Request: GET https://api.openai.com/v1/vector_stores/vs_6a4f5e2893348191949c31a3c2e1707a/files?filter=completed&limit=100&after=file-95LzNT8puXTccpYytRREiQ "HTTP/1.1 200 OK"
2026-07-09T11:39:02.298803650Z [err]  2026-07-09 11:39:02,297 INFO HTTP Request: GET https://api.openai.com/v1/vector_stores/vs_6a4f5e2893348191949c31a3c2e1707a/files?filter=completed&limit=100&after=file-HYdeuVpo1ic78wmTSns3bu "HTTP/1.1 200 OK"
2026-07-09T11:39:04.948196187Z [err]  2026-07-09 11:39:04,911 INFO HTTP Request: GET https://api.openai.com/v1/vector_stores/vs_6a4f5e2893348191949c31a3c2e1707a/files?filter=completed&limit=100&after=file-R6T8K2hfd6dXb8WxBFSk71 "HTTP/1.1 200 OK"
2026-07-09T11:39:06.217531321Z [err]  2026-07-09 11:39:06,214 INFO HTTP Request: GET https://api.openai.com/v1/vector_stores/vs_6a4f5e2893348191949c31a3c2e1707a/files?filter=completed&limit=100&after=file-YGFXUzinNSa2NSwGGkW9Gs "HTTP/1.1 200 OK"
2026-07-09T11:39:06.368794324Z [err]  2026-07-09 11:39:06,366 INFO No new or updated files to upload
2026-07-09T11:39:06.725409456Z [err]  2026-07-09 11:39:06,722 INFO HTTP Request: GET https://api.openai.com/v1/assistants/asst_qP7dKwzpiGZ6XeSgXDo3sgeB "HTTP/1.1 200 OK"
2026-07-09T11:39:07.179142597Z [err]  2026-07-09 11:39:07,151 INFO HTTP Request: POST https://api.openai.com/v1/assistants/asst_qP7dKwzpiGZ6XeSgXDo3sgeB "HTTP/1.1 200 OK"
2026-07-09T11:39:07.179147717Z [err]  2026-07-09 11:39:07,152 INFO Attached vector store vs_6a4f5e2893348191949c31a3c2e1707a to assistant asst_qP7dKwzpiGZ6XeSgXDo3sgeB
2026-07-09T11:39:07.179152037Z [err]  2026-07-09 11:39:07,152 INFO Delta summary: 0 added, 0 updated, 406 skipped (vector store 'OptiSigns Help Center', vs_6a4f5e2893348191949c31a3c2e1707a)
2026-07-09T11:39:07.179156407Z [err]  2026-07-09 11:39:07,152 INFO Upload completed
2026-07-09T11:39:07.179160727Z [err]  2026-07-09 11:39:07,152 INFO Job finished successfully in 22.1s
